gen,ind,condenser_p_Pa,drum_p_Pa,pr_scale,efficiency_pct,total_MW
8,8,4500.0,7311330,1.0058,54.3902,505.2
8,9,4500.0,7268413,1.0058,54.3902,505.2
8,10,4500.0,7483439,1.0058,54.3902,505.2
8,11,4500.0,7448893,1.0058,54.3902,505.2
8,12,4500.0,7300380,1.0058,54.3902,505.2
8,13,4500.0,7141966,0.9963,54.3566,504.9
8,14,4500.0,7666674,1.0524,54.1077,502.6
8,15,4500.0,7461489,1.0058,54.3902,505.2
8,16,4500.0,7482746,1.0058,54.3902,505.2
8,17,4500.0,7480534,1.0058,54.3902,505.2
8,18,4500.0,7215306,1.0058,54.3902,505.2
8,19,4500.0,7344316,1.0058,54.3902,505.2
9,0,4500.0,7514232,1.0058,54.3902,505.2
9,1,4822.7,7520207,1.0058,54.2809,504.2
9,2,4500.0,7461489,1.0058,54.3902,505.2
9,3,4500.0,6935072,1.0058,54.3902,505.2
9,4,4500.0,7462371,1.0058,54.3902,505.2
9,5,4500.0,7480722,1.0058,54.3902,505.2
9,6,4500.0,7452491,1.0058,54.3902,505.2
9,7,4500.0,7242097,1.0058,54.3902,505.2
9,8,4500.0,7344316,1.0058,54.3902,505.2
9,9,4500.0,6476324,1.0031,54.3892,505.2
9,10,4500.0,7485632,1.0058,54.3902,505.2
9,11,4500.0,7483439,1.0058,54.3902,505.2
9,12,4500.0,7393103,1.0058,54.3902,505.2
9,13,4654.6,7516515,1.0058,54.3370,504.7
9,14,4500.0,7975212,1.0058,54.3902,505.2
9,15,4500.0,7461489,1.0058,54.3902,505.2
9,16,4500.0,7491185,1.0058,54.3902,505.2
9,17,4500.0,7471400,1.0058,54.3902,505.2
9,18,4500.0,7461489,1.0058,54.3902,505.2
9,19,4500.0,7514232,1.0058,54.3902,505.2
10,0,4500.0,7468124,1.0058,54.3902,505.2
10,1,4500.0,7486814,1.0058,54.3902,505.2
10,2,4500.0,7416486,1.0058,54.3902,505.2
10,3,4500.0,7376319,1.0058,54.3902,505.2
10,4,4500.0,7483439,1.0058,54.3902,505.2
10,5,4500.0,7461489,1.0058,54.3902,505.2
10,6,4500.0,7890245,1.0058,54.3902,505.2
10,7,4500.0,8139215,1.0058,54.3902,505.2
10,8,4500.0,7451672,1.0058,54.3902,505.2
10,9,5098.8,7479836,0.9983,54.1733,503.2
10,10,4500.0,8229160,1.0058,54.3902,505.2
10,11,4500.0,8142118,1.0058,54.3902,505.2
10,12,4500.0,7493418,1.0058,54.3902,505.2
10,13,4500.0,7486651,1.0058,54.3902,505.2
10,14,4500.0,7975212,1.0058,54.3902,505.2
10,15,4500.0,7461489,1.0058,54.3902,505.2
10,16,4500.0,7619929,1.0058,54.3902,505.2
10,17,4500.0,7170268,0.9736,53.6264,498.1
10,18,4500.0,7514232,1.0058,54.3902,505.2
10,19,4500.0,7461489,1.0058,54.3902,505.2
